infrastructure,infrastructure_category,score,status
Toilet,toilet,10,1
Handwash,toilet,5,1
cctv,monitoring,5,1
Solar Panel,Energy resource,0,0
library,study,10,1
Drinking water,water,10,1
Tap water,water,10,1
Electricity,Energy resource,10,1
Playground,play ground,10,1
Digital board,study,0,0
News paper,study,0,0
hand pumps,water,0,0
boys toilet,toilet,10,1
girls toilet,toilet,10,1
cwsn toilet,toilet,10,1
cwsn boys toilet,toilet,0,0
cwsn girls toilet,toilet,0,0
boys urinals,toilet,0,0
girls urinals,toilet,0,0
incinerator,recycling,0,0
Protected well,water,0,0
book bank,study,0,0
